DATAFLOW,LAST UPDATE,freq,nace_r1,wstatus,worktime,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1998-Q1,39.8,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1999-Q1,39.6,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1999-Q2,38.8,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1999-Q3,40.2,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1999-Q4,39.5,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2000-Q1,39.5,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2000-Q2,38.3,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2000-Q3,39.8,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2000-Q4,39.1,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2001-Q1,39.4,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2001-Q2,38.2,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2001-Q3,39.5,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2001-Q4,39.1,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2002-Q1,39.0,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2002-Q2,38.3,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2002-Q3,39.3,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2002-Q4,39.1,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2003-Q1,38.9,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2003-Q2,37.7,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2003-Q3,38.9,,
ESTAT:LFSQ_EWHANA(1.0),14/02/23 23:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2003-Q4,38.6,,
