,TIME_PERIOD_WITH_NAN
CPI_Germany,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1995-04-01 00:00:00'), Timestamp('1995-07-01 00:00:00'), Timestamp('1995-10-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
PIB_Germany,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
LT_IR_Germany,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
ST_IR_Germany,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
WH_Germany,"[Timestamp('1998-07-01 00:00:00'), Timestamp('1998-10-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('1999-07-01 00:00:00'), Timestamp('1999-10-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2000-07-01 00:00:00'), Timestamp('2000-10-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2001-07-01 00:00:00'), Timestamp('2001-10-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2002-07-01 00:00:00'), Timestamp('2002-10-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2003-07-01 00:00:00'), Timestamp('2003-10-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2004-07-01 00:00:00'), Timestamp('2004-10-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2020-04-01 00:00:00'), Timestamp('2020-07-01 00:00:00'), Timestamp('2020-10-01 00:00:00'), Timestamp('2024-10-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
P_Growth_Germany,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1995-04-01 00:00:00'), Timestamp('1995-07-01 00:00:00'), Timestamp('1995-10-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1996-04-01 00:00:00'), Timestamp('1996-07-01 00:00:00'), Timestamp('1996-10-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1997-04-01 00:00:00'), Timestamp('1997-07-01 00:00:00'), Timestamp('1997-10-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1998-04-01 00:00:00'), Timestamp('1998-07-01 00:00:00'), Timestamp('1998-10-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('1999-04-01 00:00:00'), Timestamp('1999-07-01 00:00:00'), Timestamp('1999-10-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2000-04-01 00:00:00'), Timestamp('2000-07-01 00:00:00'), Timestamp('2000-10-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2001-04-01 00:00:00'), Timestamp('2001-07-01 00:00:00'), Timestamp('2001-10-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2002-04-01 00:00:00'), Timestamp('2002-07-01 00:00:00'), Timestamp('2002-10-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2003-04-01 00:00:00'), Timestamp('2003-07-01 00:00:00'), Timestamp('2003-10-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2004-04-01 00:00:00'), Timestamp('2004-07-01 00:00:00'), Timestamp('2004-10-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2005-04-01 00:00:00'), Timestamp('2005-07-01 00:00:00'), Timestamp('2005-10-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2006-04-01 00:00:00'), Timestamp('2006-07-01 00:00:00'), Timestamp('2006-10-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2007-04-01 00:00:00'), Timestamp('2007-07-01 00:00:00'), Timestamp('2007-10-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2008-04-01 00:00:00'), Timestamp('2008-07-01 00:00:00'), Timestamp('2008-10-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2009-04-01 00:00:00'), Timestamp('2009-07-01 00:00:00'), Timestamp('2009-10-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2010-04-01 00:00:00'), Timestamp('2010-07-01 00:00:00'), Timestamp('2010-10-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2011-04-01 00:00:00'), Timestamp('2011-07-01 00:00:00'), Timestamp('2011-10-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2012-04-01 00:00:00'), Timestamp('2012-07-01 00:00:00'), Timestamp('2012-10-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2013-04-01 00:00:00'), Timestamp('2013-07-01 00:00:00'), Timestamp('2013-10-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2014-04-01 00:00:00'), Timestamp('2014-07-01 00:00:00'), Timestamp('2014-10-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2015-04-01 00:00:00'), Timestamp('2015-07-01 00:00:00'), Timestamp('2015-10-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2016-04-01 00:00:00'), Timestamp('2016-07-01 00:00:00'), Timestamp('2016-10-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2017-04-01 00:00:00'), Timestamp('2017-07-01 00:00:00'), Timestamp('2017-10-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2018-04-01 00:00:00'), Timestamp('2018-07-01 00:00:00'), Timestamp('2018-10-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2019-04-01 00:00:00'), Timestamp('2019-07-01 00:00:00'), Timestamp('2019-10-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2020-04-01 00:00:00'), Timestamp('2020-07-01 00:00:00'), Timestamp('2020-10-01 00:00:00'), Timestamp('2021-01-01 00:00:00'), Timestamp('2021-04-01 00:00:00'), Timestamp('2021-07-01 00:00:00'), Timestamp('2021-10-01 00:00:00'), Timestamp('2022-01-01 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-10-01 00:00:00'), Timestamp('2023-01-01 00:00:00'), Timestamp('2023-04-01 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-10-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-04-01 00:00:00'), Timestamp('2024-07-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]"
CPI_Greece,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1995-04-01 00:00:00'), Timestamp('1995-07-01 00:00:00'), Timestamp('1995-10-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
PIB_Greece,"[Timestamp('2024-10-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
LT_IR_Greece,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1995-04-01 00:00:00'), Timestamp('1995-07-01 00:00:00'), Timestamp('1995-10-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1996-04-01 00:00:00'), Timestamp('1996-07-01 00:00:00'), Timestamp('1996-10-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1997-04-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
ST_IR_Greece,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
WH_Greece,"[Timestamp('2024-10-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
P_Growth_Greece,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1995-04-01 00:00:00'), Timestamp('1995-07-01 00:00:00'), Timestamp('1995-10-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1996-04-01 00:00:00'), Timestamp('1996-07-01 00:00:00'), Timestamp('1996-10-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1997-04-01 00:00:00'), Timestamp('1997-07-01 00:00:00'), Timestamp('1997-10-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1998-04-01 00:00:00'), Timestamp('1998-07-01 00:00:00'), Timestamp('1998-10-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('1999-04-01 00:00:00'), Timestamp('1999-07-01 00:00:00'), Timestamp('1999-10-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2000-04-01 00:00:00'), Timestamp('2000-07-01 00:00:00'), Timestamp('2000-10-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2001-04-01 00:00:00'), Timestamp('2001-07-01 00:00:00'), Timestamp('2001-10-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2002-04-01 00:00:00'), Timestamp('2002-07-01 00:00:00'), Timestamp('2002-10-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2003-04-01 00:00:00'), Timestamp('2003-07-01 00:00:00'), Timestamp('2003-10-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2004-04-01 00:00:00'), Timestamp('2004-07-01 00:00:00'), Timestamp('2004-10-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2005-04-01 00:00:00'), Timestamp('2005-07-01 00:00:00'), Timestamp('2005-10-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2006-04-01 00:00:00'), Timestamp('2006-07-01 00:00:00'), Timestamp('2006-10-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2007-04-01 00:00:00'), Timestamp('2007-07-01 00:00:00'), Timestamp('2007-10-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2008-04-01 00:00:00'), Timestamp('2008-07-01 00:00:00'), Timestamp('2008-10-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2009-04-01 00:00:00'), Timestamp('2009-07-01 00:00:00'), Timestamp('2009-10-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2010-04-01 00:00:00'), Timestamp('2010-07-01 00:00:00'), Timestamp('2010-10-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2011-04-01 00:00:00'), Timestamp('2011-07-01 00:00:00'), Timestamp('2011-10-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2012-04-01 00:00:00'), Timestamp('2012-07-01 00:00:00'), Timestamp('2012-10-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2013-04-01 00:00:00'), Timestamp('2013-07-01 00:00:00'), Timestamp('2013-10-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2014-04-01 00:00:00'), Timestamp('2014-07-01 00:00:00'), Timestamp('2014-10-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2015-04-01 00:00:00'), Timestamp('2015-07-01 00:00:00'), Timestamp('2015-10-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2016-04-01 00:00:00'), Timestamp('2016-07-01 00:00:00'), Timestamp('2016-10-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2017-04-01 00:00:00'), Timestamp('2017-07-01 00:00:00'), Timestamp('2017-10-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2018-04-01 00:00:00'), Timestamp('2018-07-01 00:00:00'), Timestamp('2018-10-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2019-04-01 00:00:00'), Timestamp('2019-07-01 00:00:00'), Timestamp('2019-10-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2020-04-01 00:00:00'), Timestamp('2020-07-01 00:00:00'), Timestamp('2020-10-01 00:00:00'), Timestamp('2021-01-01 00:00:00'), Timestamp('2021-04-01 00:00:00'), Timestamp('2021-07-01 00:00:00'), Timestamp('2021-10-01 00:00:00'), Timestamp('2022-01-01 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-10-01 00:00:00'), Timestamp('2023-01-01 00:00:00'), Timestamp('2023-04-01 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-10-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-04-01 00:00:00'), Timestamp('2024-07-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]"
CPI_Hungary,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1995-04-01 00:00:00'), Timestamp('1995-07-01 00:00:00'), Timestamp('1995-10-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
PIB_Hungary,"[Timestamp('2024-10-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
LT_IR_Hungary,"[Timestamp('1995-01-01 00:00:00'), Timestamp('1995-04-01 00:00:00'), Timestamp('1995-07-01 00:00:00'), Timestamp('1995-10-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1996-04-01 00:00:00'), Timestamp('1996-07-01 00:00:00'), Timestamp('1996-10-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1997-04-01 00:00:00'), Timestamp('1997-07-01 00:00:00'), Timestamp('1997-10-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1998-04-01 00:00:00'), Timestamp('1998-07-01 00:00:00'), Timestamp('1998-10-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('1995-01-01 00:00:00'), Timestamp('1996-01-01 00:00:00'), Timestamp('1997-01-01 00:00:00'), Timestamp('1998-01-01 00:00:00'), Timestamp('1999-01-01 00:00:00'), Timestamp('2000-01-01 00:00:00'), Timestamp('2001-01-01 00:00:00'), Timestamp('2002-01-01 00:00:00'), Timestamp('2003-01-01 00:00:00'), Timestamp('2004-01-01 00:00:00'), Timestamp('2005-01-01 00:00:00'), Timestamp('2006-01-01 00:00:00'), Timestamp('2007-01-01 00:00:00'), Timestamp('2008-01-01 00:00:00'), Timestamp('2009-01-01 00:00:00'), Timestamp('2010-01-01 00:00:00'), Timestamp('2011-01-01 00:00:00'), Timestamp('2012-01-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2014-01-01 00:00:00'), Timestamp('2015-01-01 00:00:00'), Timestamp('2016-01-01 00:00:00'), Timestamp('2017-01-01 00:00:00'), Timestamp('2018-01-01 00:00:00'), Timestamp('2019-01-01 00:00:00'), Timestamp('2020-01-01 00:00:00'), Timestamp('2021-01-01 00:00:00')]"
